"(Intercept)","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","residual.sugar_times_chlorides","residual.sugar_times_total.sulfur.dioxide","residual.sugar_times_density","residual.sugar_times_pH","residual.sugar_times_sulphates","residual.sugar_times_alcohol","chlorides_times_total.sulfur.dioxide","chlorides_times_density","chlorides_times_pH","chlorides_times_sulphates","chlorides_times_alcohol","total.sulfur.dioxide_times_density","total.sulfur.dioxide_times_pH","total.sulfur.dioxide_times_sulphates","total.sulfur.dioxide_times_alcohol","density_times_pH","density_times_sulphates","density_times_alcohol","pH_times_sulphates","pH_times_alcohol","sulphates_times_alcohol"
2.53569293784546,0,0,-0.0709613399844566,0,-0.0522004594271328,0.204039010163105,0.195354958361886,0,0,0,0,0,-0.082670822956644,0,0,0,0,0.0780259035432181,-0.0525185802179473,0,-0.0327660824651709,0,0,0,0,0.0365586768050339,0,0.0133952013634428
2.52797604842596,0,0,-0.0743678172266942,0,-0.0381861098005712,0.169905779433774,0.216718831135397,0,0,0,0,0,-0.042473358935452,0,0,0,0,0.0762826691554558,-0.0237302502417589,0,-0.0589466808194229,0,0,0,-0.00419521698649075,0.0371987839326746,0,-0.0305040530369562
2.53246922283439,0,0.0172782056340751,-0.0676520619546951,0,-0.0404655298059735,0.164875314221191,0.21986842154867,0,0,0,0,0,-0.056848070659723,0,0,0.0576442065734538,0,0,-0.0256090826722779,0,-0.0429133841533024,0,0,0,0,0,0,0
2.51428078488038,0,0,-0.0425796833061031,0,-0.0334036493639562,0.163028692657584,0.193601770939884,0,0,0,0,0,-0.045056976101287,0,0,0.0420471518549486,0,0,0,0,-0.0751336276632179,0.0343495398328773,0,0,0,0,0,0
2.51696478391206,0,0,-0.0528549438195521,0,-0.0539136433427164,0.159875523384432,0.217681195013253,0,0,0,0,0,-0.010222946322124,0,0,0.0470453685927867,0,0,0,0,-0.0683083582988939,0,0,0,0,0,-0.00384364944463195,0
2.4951178612567,0,-0.0549392493813998,-0.0818710384411873,0.00880767872964374,-0.0675951700596852,0.162344478168213,0.203357598370387,0,0,0,0,0,-0.0633791577551518,0,0,0.0252595080690431,0,0,0,0,-0.0749172524156003,0.0196815876065992,0,0,0,0,0,0
2.52186890868212,0,0,-0.05998554488733,0,-0.0577203521812111,0.163094102611829,0.225966271791645,0,0,0,0.0201574760115964,0,-0.055101579944354,0,0,0.0485351739446697,0,0,0,0,-0.0766845501725538,0.051883322953534,0,0,0,0,0,0
2.52485325487465,0,0,-0.0720441887225637,0,-0.0278701840735767,0.199371558811862,0.181952516830129,0,0,0,0,0,-0.0329273540558552,0,0,0.0487182082826899,0,0,0,0,-0.0778022746764539,0,0,0,0,0,0,0
2.49318545890219,0,0,-0.0625013721740992,-0.0217960725722422,-0.0648187671881296,0.187645024757251,0.179608314214352,0,0,0,0.0330937335144111,0,-0.063739249198723,0,0,0.0236870690071539,-0.0158033931312368,0,-0.0292841773331054,0,-0.0659301007245048,0,0.00185228429644711,0,0,0,0,0
2.52079078959321,0,0,-0.0953970935627539,0,-0.0504624287042274,0.180735992783521,0.213243548187946,0,0,0,0,0,-0.0449722901098775,0,0,0,-0.0282270442479596,0,-0.0365068827732038,0,-0.0698047563340075,0,0,0,0,0,0,0
2.49700208551062,0,0,-0.0788906645709189,0,-0.0560686776205375,0.141319225469743,0.193209164553872,0,0,0,0,0,-0.0589420720125086,0,0,0,-0.0293889153294658,0,-0.0413538109287196,0,-0.0512459769927284,0,0.0236003122678842,-0.00930669468514023,0,0,0,0
2.529123378766,0,0,-0.0941956775603137,0,-0.0553351525808346,0.199011677184447,0.184507375837828,0,0,0,0,-0.00487881890536573,-0.039594247894572,0,0,0,-0.0278009229039587,0,-0.0138709236995647,0,-0.0540248883524354,0,0,0,0,0.0326098196755158,0,0
2.5001514868017,0,-0.0355565790399304,-0.0712281558754446,0,-0.0596671962853846,0.185078373920096,0.194451453559504,0,0,-0.00857318961530067,0,0,-0.056078120389525,0,0,0,0,0,0,0,-0.0571066077097425,0,0,0,0,0.046836283745865,-0.0170188713196852,0
2.49171052165505,0,-0.0423742063851463,-0.0840693862696229,0,-0.0681999642244184,0.185845333932256,0.173003544341142,0,0,0,0,0,-0.0240720433895517,0,0,0,0,0,-0.0312142616480992,0,-0.0370708926045835,0,0,0,0,0.0497046989961515,-0.018752429108408,0
2.48914203596775,0,-0.0800095612693563,-0.0545695478606472,0,-0.0566614103857271,0.200571482926031,0.161804707878587,0,0,0,0,0,-0.0545819600639794,-0.0302528327842404,0,0,0,0,0,0,-0.0458631004279715,0,0,0,0,0.0384254826963023,0,0
2.5325368971184,0,-0.0802990370407583,-0.0573836402706756,0,-0.0695281193430709,0.18879528161362,0.199916966420697,0,0,0,0,0,-0.052374309297138,0,0,0,0,0,0,0,-0.0411724775276892,0,0,0,0,0.0279699903687794,-0.0252846105647661,0
2.52673379319462,0,-0.0664166533710159,-0.0735557469772339,0,-0.0695986704942186,0.164438644395312,0.182866779272302,0,0,0,0,-0.0479951392907702,-0.0535576624024296,0,0,0,0,0,0,0,-0.0441874136084964,0,0,0,0,0.039638593714854,0,0
2.51235280697915,-0.0122249479424819,-0.038509669671637,-0.0498299349214896,0,-0.0878987798423595,0.161965922008298,0.21065793698285,0,0,0,0,0,-0.0460170340127003,0,0,0,0,0,0,0,-0.0471787951448364,0,0,0,0,0.0463398548555637,0,0
