"(Intercept)","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","residual.sugar_times_chlorides","residual.sugar_times_total.sulfur.dioxide","residual.sugar_times_density","residual.sugar_times_pH","residual.sugar_times_sulphates","residual.sugar_times_alcohol","chlorides_times_total.sulfur.dioxide","chlorides_times_density","chlorides_times_pH","chlorides_times_sulphates","chlorides_times_alcohol","total.sulfur.dioxide_times_density","total.sulfur.dioxide_times_pH","total.sulfur.dioxide_times_sulphates","total.sulfur.dioxide_times_alcohol","density_times_pH","density_times_sulphates","density_times_alcohol","pH_times_sulphates","pH_times_alcohol","sulphates_times_alcohol"
5.62919869442822,0,-0.109725053285035,-0.151504538301768,0,-0.128673985202966,0.269102048137807,0.304654174090683,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100560539594335,0,0,0,0,0,0,0.0797024292261829
5.6576730975746,0,-0.118351044263241,-0.0821760161418247,0,-0.126740240887341,0.291927362156569,0.352473127108705,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0842267753102081,0,0,-0.0442209334199986,0,0.0622025320566056,0,0
5.67827528405955,0,-0.120818530060652,-0.110042821905932,0,-0.135751619941957,0.271869113860255,0.336468504096103,0,0,0,0,0,-0.0318465398104313,0,0,0,0,0,0,0,-0.101404985231478,0,0,-0.0345197450986365,0,0,0,0
5.69623768934087,0,-0.137844472844087,-0.110640430119721,0,-0.134305950491768,0.281548547713162,0.348005238542041,0,0,0,0,0,-0.0254850900470399,0,0,0,0,0,0,0,-0.109260663338372,0,0.0612448465074313,-0.051229132132925,0,0.03119322865404,0,0
5.65158844393137,0,-0.134823470372375,-0.115771621576515,0,-0.090502670793924,0.268305576060523,0.295090401590545,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122454008305406,0,0,-0.0739375539774258,-0.0525440784713746,0,-0.0351688466442678,0
5.65877919938393,0,-0.109191122658579,-0.116568464798086,0,-0.127206752393602,0.263606091679033,0.353402511465929,0,0,0,0,0,-0.0373382544633722,0,0,0,-0.00556779766304786,0,0,0,-0.121327257564332,0,0,-0.0341066462365373,0,-0.0061079234801635,-0.0291502753086081,0
5.66783433351968,0,-0.0907015051817056,-0.0991283136919808,0,-0.139444033870339,0.329454221981644,0.351842664219272,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0776683421986653,0,-0.00200218556153348,0,0,0.0970480427278379,0,0
5.61817717065893,0,-0.112328126049182,-0.105526590430196,0,-0.141484395867765,0.274036830469817,0.357210831832669,0,0,0,0,0,-0.0719367596252784,0,0,0,0,0,0,0,-0.102142882840973,0,0,0,0,0.0419233213427404,0,0
5.63043132223526,0,-0.0916734785772265,-0.0833420806156056,0,-0.101333441136128,0.28082105284204,0.336725086025773,0,0,0,0,0,-0.0738312255952012,0,0,0.0398871919046007,0,0,0,0,-0.105602173063917,0,0,0,0,0,0,0.0438834800521717
5.62681653205484,0,-0.120705754937291,-0.0938364443984242,0,-0.116919228898102,0.250201684648741,0.347380851780913,0,0,0,0,0,-0.0654357676410667,0,0,0,0,0,0,0,-0.0908320938972522,0,0.0450463795281918,-0.0677157310670402,0,0,0,0.0517918572089205
